code_arrondissement,nom_officiel,nom,surface_m2,coord_x,coord_y
10,Entrepôt,10ème Ardt,2891739.44162064,2.360728487847452,48.87613003653913
18,Buttes-Montmartre,18ème Ardt,5996051.30811905,2.3481605195620396,48.89256926800578
9,Opéra,9ème Ardt,2178303.27487137,2.3374575434825444,48.87716351732887
11,Popincourt,11ème Ardt,3665441.55248808,2.380058308197898,48.859059221342484
14,Observatoire,14ème Ardt,5614877.30907921,2.3265420441989466,48.82924450048987
4,Hôtel-de-Ville,4ème Ardt,1600585.63150251,2.357629620324997,48.85434142627288
5,Panthéon,5ème Ardt,2539374.62284532,2.3507146095752587,48.844443150532705
2,Bourse,2ème Ardt,991153.74474596,2.3428025468913636,48.86827922252251
8,Élysée,8ème Ardt,3880036.39704363,2.312554022402065,48.872720837434464
20,Ménilmontant,20ème Ardt,5983446.03718297,2.4011881292846864,48.86346057889562
6,Luxembourg,6ème Ardt,2153095.58639283,2.3328979990533147,48.84913035858523
15,Vaugirard,15ème Ardt,8494994.08101075,2.2928258224249976,48.840085375938216
17,Batignolles-Monceau,17ème Ardt,5668834.50445393,2.3067769905744084,48.887326522025816
12,Reuilly,12ème Ardt,16314782.6372674,2.4213235156144646,48.834974154202456
16,Passy,16ème Ardt,16372542.1289739,2.261970788364543,48.860392105415826
19,Buttes-Chaumont,19ème Ardt,6792651.12902648,2.384820960152517,48.887075996572584
13,Gobelins,13ème Ardt,7149311.09107136,2.3622703608413,48.82838796597577
7,Palais-Bourbon,7ème Ardt,4090057.18546976,2.3121876953655494,48.85617443127909
1,Louvre,1er Ardt,1824612.86048666,2.3364433620533878,48.862562701836005
3,Temple,3ème Ardt,1170882.82818778,2.360000985897692,48.862872380016924
